,Sample Result (ppb),Address,Analyze Date,geometry,x,y
665,2.0,1900 FEDERAL ST,6/4/2019,POINT (-79.85186254751579 40.3386387571408),-79.8518625475158,40.3386387571408
666,1.0,4800 BLACKBERRY WAY,6/4/2019,POINT (-79.9582958604114 40.4765825394248),-79.9582958604114,40.4765825394248
667,1.0,5500 HOWE ST,6/4/2019,POINT (-79.93317542305751 40.450219260564),-79.9331754230575,40.450219260564
668,1.0,5900 WALNUT ST,6/4/2019,POINT (-79.9264375866568 40.4534396817264),-79.9264375866568,40.4534396817264
669,1.0,6400 NICHOLSON ST,6/4/2019,POINT (-79.9173715469304 40.4304948828127),-79.9173715469304,40.4304948828127
670,16.5,7300 BUTLER ST,6/4/2019,POINT (-79.92134430638539 40.4879317138054),-79.9213443063854,40.4879317138054
671,2.22,2000 LEY ST,5/29/2019,POINT (-79.98010396291841 40.4679807569953),-79.9801039629184,40.4679807569953
672,1.0,2300 ELDRIDGE ST,5/29/2019,POINT (-79.9225980870583 40.4315604077763),-79.9225980870583,40.4315604077763
673,1.0,3300 BEECHWOOD BLVD,5/29/2019,POINT (-79.92434839073719 40.4185039832644),-79.9243483907372,40.4185039832644
674,7.14,3900 WILKSBORO ST,5/29/2019,POINT (nan nan),,
675,1.14,4200 MINNESOTA ST,5/29/2019,POINT (-79.9391047662656 40.4225044260469),-79.9391047662656,40.4225044260469
676,1.03,4700 SCIOTA ST,5/29/2019,POINT (nan nan),,
677,1.0,6100 SPIRIT ST ,5/29/2019,POINT (-79.923252949912 40.4600695966146),-79.923252949912,40.4600695966146
678,2.79,6300 MORROWFIELD AVE,5/29/2019,POINT (-79.92252169761829 40.4275364537409),-79.9225216976183,40.4275364537409
679,1.0,6600 APPLE AVE,5/29/2019,POINT (-79.90321550353291 40.4664523255562),-79.9032155035329,40.4664523255562
680,1.63,2800 SARAH ST,5/21/2019,POINT (-79.9665480228646 40.4254143103601),-79.9665480228646,40.4254143103601
681,2.35,3700 WAPELLO ST,5/21/2019,POINT (-80.03292992871999 40.483980511293),-80.03292992872,40.483980511293
682,14.3,3900 KLEBER ST,5/21/2019,POINT (-80.0371946853638 40.4873516684931),-80.0371946853638,40.4873516684931
683,1.0,4300 MILGATE ST,5/21/2019,POINT (-79.9533852011137 40.4653274085036),-79.9533852011137,40.4653274085036
684,15.8,4300 LUDWICK ST,5/21/2019,POINT (-79.92525557921959 40.4209131276165),-79.9252555792196,40.4209131276165
685,1.0,4500 FRIENDSHIP AVE,5/21/2019,POINT (-79.95219545350859 40.4656650274193),-79.9521954535086,40.4656650274193
686,1.0,5500 BAUM,5/21/2019,POINT (nan nan),,
687,1.27,5500 BAYWOOD ST,5/21/2019,POINT (-79.928727407599 40.4716153426637),-79.928727407599,40.4716153426637
688,1.0,5500 POCUSSET ST,5/21/2019,POINT (-79.9302096835376 40.4306344706944),-79.9302096835376,40.4306344706944
689,1.0,5800 ELWOOD ST,5/21/2019,POINT (-79.92903013672669 40.4536689861748),-79.9290301367267,40.4536689861748
690,1.0,6000 STANTON AVE,5/21/2019,POINT (-79.9207764636202 40.4693705554029),-79.9207764636202,40.4693705554029
691,2.75,6300 AURELIA ST,5/21/2019,POINT (-79.9214905703348 40.4576278450138),-79.9214905703348,40.4576278450138
692,201.0,6300 AURELIA ST,5/21/2019,POINT (-79.9214905703348 40.4576278450138),-79.9214905703348,40.4576278450138
693,1.0,6400 STANTON AVE,5/21/2019,POINT (-79.91307349149329 40.4693809407823),-79.9130734914933,40.4693809407823
694,5.0,7000 THOMAS BLVD,5/21/2019,POINT (-79.90453876172811 40.4521132416197),-79.9045387617281,40.4521132416197
695,1.0,7100 MONTICELLO ST,5/21/2019,POINT (-79.89744480427601 40.4597981378527),-79.897444804276,40.4597981378527
696,46.9,0 S 12TH ST,5/15/2019,POINT (-79.9862997859024 40.4308980606548),-79.9862997859024,40.4308980606548
697,1.0,0 S 15TH ST,5/15/2019,POINT (-79.98327078714171 40.4300188767035),-79.9832707871417,40.4300188767035
698,1.0,100 JACKSONIA,5/15/2019,POINT (nan nan),,
699,0.0,100 BANNER WAY,5/15/2019,POINT (-79.96350463718829 40.4715879237506),-79.9635046371883,40.4715879237506
700,4.0,100 36TH ST,5/15/2019,POINT (-79.9669800546507 40.467072508744),-79.9669800546507,40.467072508744
701,1.0,200 ST THOMAS ST,5/15/2019,POINT (nan nan),,
702,0.0,200 MAIN ST,5/15/2019,POINT (-80.166419740642 40.5204699781598),-80.166419740642,40.5204699781598
703,2.0,200 LE ROI RD,5/15/2019,POINT (nan nan),,
704,17.8,300 SERVICE WAY,5/15/2019,POINT (-79.9566042894879 40.4697884074049),-79.9566042894879,40.4697884074049
705,0.0,400 LEAVITT ST,5/15/2019,POINT (-80.0078378583451 40.4078930219975),-80.0078378583451,40.4078930219975
706,2.0,400 ELOISE ST,5/15/2019,POINT (-80.01115872742309 40.4552633933324),-80.0111587274231,40.4552633933324
707,15.8,400 BAILEY AVE,5/15/2019,POINT (-79.999817380121 40.4266867622237),-79.999817380121,40.4266867622237
708,4.3,600 MONTVIEW ST,5/15/2019,POINT (-80.0264422371973 40.4914418521563),-80.0264422371973,40.4914418521563
709,2.0,600 RUGBY ST,5/15/2019,POINT (-79.8902531792036 40.4682962961591),-79.8902531792036,40.4682962961591
710,3.7,600 KIRTLAND ST,5/15/2019,POINT (-79.90777993363611 40.44563416658),-79.9077799336361,40.44563416658
711,1.0,800 COLLINS AVE,5/15/2019,POINT (-79.9174334322563 40.4691880774375),-79.9174334322563,40.4691880774375
712,7.0,800 LILAC ST,5/15/2019,POINT (-79.93535276371141 40.4249226093762),-79.9353527637114,40.4249226093762
713,14.2,900 BRYN MAWR RD,5/15/2019,POINT (-79.95861614519291 40.4520791015705),-79.9586161451929,40.4520791015705
714,2.0,1100 WINDERMERE DR,5/15/2019,POINT (-79.9005420023545 40.4236312337733),-79.9005420023545,40.4236312337733
715,0.0,1100 SHERMAN AVE,5/15/2019,POINT (-80.0094986903699 40.4554964032978),-80.0094986903699,40.4554964032978
716,2.0,1100 HERRON AVE,5/15/2019,POINT (-79.96390615261021 40.4581483725147),-79.9639061526102,40.4581483725147
717,3.4,1300 VIRGINIA AVE,5/15/2019,POINT (-79.80813302479829 40.317092791889),-79.8081330247983,40.317092791889
718,2.0,1300 OAKDENE ST,5/15/2019,POINT (-79.8905948701037 40.4622302830668),-79.8905948701037,40.4622302830668
719,4.2,1300 HERMAN ST,5/15/2019,POINT (-79.98817690349399 40.4597499720106),-79.988176903494,40.4597499720106
720,1.0,1600 BILTMORE,5/15/2019,POINT (nan nan),,
721,1.61,1600 DUFFIELD ST,5/15/2019,POINT (-79.9304503426082 40.4828785973951),-79.9304503426082,40.4828785973951
722,1.0,1700 MERRIMAN ST,5/15/2019,POINT (-79.9814045094414 40.4312395535566),-79.9814045094414,40.4312395535566
723,29.5,2700 SHADY AVE,5/15/2019,POINT (-79.9224799010188 40.4282805364152),-79.9224799010188,40.4282805364152
724,1.0,3200 DAWSON ST,5/15/2019,POINT (-79.9539839754103 40.4299129494949),-79.9539839754103,40.4299129494949
725,4.66,3700 PARVISS ST,5/15/2019,POINT (-80.0343054180393 40.4834162496176),-80.0343054180393,40.4834162496176
726,1.21,3700 PARVISS ST,5/15/2019,POINT (-80.0343054180393 40.4834162496176),-80.0343054180393,40.4834162496176
727,2.47,3800 BONAVENTURE WAY,5/15/2019,POINT (-80.0411023825791 40.4840248158662),-80.0411023825791,40.4840248158662
728,1.0,3900 MCCLURE AVE,5/15/2019,POINT (-80.0387193024667 40.4861366487767),-80.0387193024667,40.4861366487767
729,3.68,3900 WINSHIRE ST,5/15/2019,POINT (-80.0392801409232 40.4858451911013),-80.0392801409232,40.4858451911013
730,7.31,5400 GUARINO RD,5/15/2019,POINT (-79.9326100154973 40.432546112628),-79.9326100154973,40.432546112628
731,5.78,5500 BARTLETT ST,5/15/2019,POINT (-79.9303489957167 40.4352011888438),-79.9303489957167,40.4352011888438
732,1.38,6300 STANTON AVE,5/15/2019,POINT (-79.91668800939171 40.4682780856358),-79.9166880093917,40.4682780856358
733,1.0,7100 VANN DR,5/15/2019,POINT (nan nan),,
734,11.0,2900 LEANDER,5/9/2019,POINT (nan nan),,
735,1.87,0 MAYFLOWER ST,5/7/2019,POINT (-79.9172295910781 40.4656311324001),-79.9172295910781,40.4656311324001
736,5.96,100 MCINTYRE AVE,5/7/2019,POINT (nan nan),,
737,1.0,100 STANTON CT W,5/7/2019,POINT (-79.93605327663001 40.4813573399311),-79.93605327663,40.4813573399311
738,2.0,100 ROBINSON ST,5/7/2019,POINT (-79.9652212032852 40.4383299978138),-79.9652212032852,40.4383299978138
739,2.7,200 N DITHRIDGE ST,5/7/2019,POINT (-79.9516920787202 40.449311320312),-79.9516920787202,40.449311320312
740,0.0,200 N WOODLAND RD,5/7/2019,POINT (-79.92358970673919 40.4511313169947),-79.9235897067392,40.4511313169947
741,14.0,200 CHESTERFIELD RD,5/7/2019,POINT (-79.9627935332076 40.440397959121),-79.9627935332076,40.440397959121
742,3.1,300 MECHANIC,5/7/2019,POINT (nan nan),,
743,1.0,300 341 DARRAGH ST ,5/7/2019,POINT (nan nan),,
744,2.0,300 44TH ST,5/7/2019,POINT (-79.95789212963329 40.4698865586234),-79.9578921296333,40.4698865586234
745,2.0,400 ZARA ST,5/7/2019,POINT (-79.9953136436738 40.4155398305617),-79.9953136436738,40.4155398305617
746,0.0,400 PRESSLEY ST,5/7/2019,POINT (-80.00046484034991 40.4519055743429),-80.0004648403499,40.4519055743429
747,2.0,500 PENN AVE,5/7/2019,POINT (-80.00360939767251 40.4425196789608),-80.0036093976725,40.4425196789608
748,0.0,600 N TAYLOR AVE,5/7/2019,POINT (-80.0133966473594 40.456382573671),-80.0133966473594,40.456382573671
749,3.72,600 AVERY ST,5/7/2019,POINT (-79.99897708220981 40.4530586974791),-79.9989770822098,40.4530586974791
750,17.0,800 O'BRIEN ST,5/7/2019,POINT (nan nan),,
751,2.0,900 LINCOLN AVE,5/7/2019,POINT (-79.9029177921585 40.4635121752928),-79.9029177921585,40.4635121752928
752,5.0,900 MILTON ST,5/7/2019,POINT (-79.8972356848802 40.4353907193422),-79.8972356848802,40.4353907193422
753,41.0,1000 EVERGREEN AVE,5/7/2019,POINT (-79.97152818227261 40.4903548258344),-79.9715281822726,40.4903548258344
754,7.0,1100 DUFFIELD ST,5/7/2019,POINT (-79.93214948666539 40.4777461929827),-79.9321494866654,40.4777461929827
755,4.92,1100 CHISLETT ST,5/7/2019,POINT (-79.9296917095137 40.4772101644891),-79.9296917095137,40.4772101644891
756,2.3,1200 THELMA ST,5/7/2019,POINT (-80.0276534838728 40.4690118110173),-80.0276534838728,40.4690118110173
757,2.0,1300 METHYL ST,5/7/2019,POINT (-80.026172189425 40.4160114699151),-80.026172189425,40.4160114699151
758,2.0,1300 SIMONA DR,5/7/2019,POINT (-79.9377894584135 40.4822896589143),-79.9377894584135,40.4822896589143
759,5.44,1500 VALMONT ST,5/7/2019,POINT (-79.92455852034971 40.4410570530621),-79.9245585203497,40.4410570530621
760,0.0,1700 DUFFIELD ST,5/7/2019,POINT (-79.9293133509545 40.4860513993635),-79.9293133509545,40.4860513993635
761,2.0,1700 LARKINS WAY,5/7/2019,POINT (-79.98189242720019 40.42741055146),-79.9818924272002,40.42741055146
762,1.0,2200 SHADY AVE,5/7/2019,POINT (-79.9187751029194 40.4333689639643),-79.9187751029194,40.4333689639643
763,18.8,3100 BRACKENRIDGE ST,5/7/2019,POINT (-79.9622590869082 40.4479472151459),-79.9622590869082,40.4479472151459
764,1.52,3700 OAKDALE ST,5/7/2019,POINT (-80.0252676666984 40.4856049750335),-80.0252676666984,40.4856049750335
765,11.6,3800 WILKSBORO ST,5/7/2019,POINT (nan nan),,
766,1.0,3900 BOULEVARD DR,5/7/2019,POINT (-79.93395442143741 40.4276990124613),-79.9339544214374,40.4276990124613
767,1.0,4000 CAMBRONNE ST,5/7/2019,POINT (-80.0409665448572 40.4874458763423),-80.0409665448572,40.4874458763423
768,1.0,4000 CABINET ST,5/7/2019,POINT (-79.9559683412366 40.464053773903),-79.9559683412366,40.464053773903
769,12.2,4800 SCIOTA ST,5/7/2019,POINT (-79.947350373503 40.4596658606262),-79.947350373503,40.4596658606262
770,1.0,4800 BUTLER ST,5/7/2019,POINT (-79.95780170010551 40.4763157455739),-79.9578017001055,40.4763157455739
771,1.0,4900 BAYARD ST,5/7/2019,POINT (-79.94509288634529 40.4512738135682),-79.9450928863453,40.4512738135682
772,1.0,4900 HATFIELD ST,5/7/2019,POINT (-79.9574806074085 40.477502036812),-79.9574806074085,40.477502036812
773,14.1,5000 GLENWOOD AVE,5/7/2019,POINT (-79.9403229928438 40.4092963029218),-79.9403229928438,40.4092963029218
774,1.0,5100 W PENN PL,5/7/2019,POINT (nan nan),,
775,1.35,5400 NORTHUMBERLAND ST,5/7/2019,POINT (-79.9339972839681 40.439191462402),-79.9339972839681,40.439191462402
776,1.1,5400 NORTHUMBERLAND ST,5/7/2019,POINT (-79.9339972839681 40.439191462402),-79.9339972839681,40.439191462402
777,1.0,5500 ELMER ST,5/7/2019,POINT (-79.9343977332834 40.4523578558831),-79.9343977332834,40.4523578558831
778,4.39,5500 CAMELIA ST,5/7/2019,POINT (-79.9456760979316 40.480396847591),-79.9456760979316,40.480396847591
779,1.0,5600 PHILLIPS AVE,5/7/2019,POINT (-79.9269477300232 40.4308461724652),-79.9269477300232,40.4308461724652
780,2.86,5800 WAYNE RD,5/7/2019,POINT (-79.9219411885357 40.4718995400183),-79.9219411885357,40.4718995400183
781,1.0,6600 WOODWELL ST,5/7/2019,POINT (-79.91516862535789 40.4439791860849),-79.9151686253579,40.4439791860849
782,5.63,6700 BEACON ST,5/7/2019,POINT (-79.91337543634231 40.4364768634786),-79.9133754363423,40.4364768634786
783,3.21,7000 PENN AVE,5/7/2019,POINT (-79.9135877315836 40.2745653890021),-79.9135877315836,40.2745653890021
784,7.78,2000 MOUNTFORD AVE,4/30/2019,POINT (-80.0072685098845 40.4638830740833),-80.0072685098845,40.4638830740833
785,53.8,2100 CAREY WAY,4/30/2019,POINT (-79.9759637342376 40.4279692904351),-79.9759637342376,40.4279692904351
786,1.0,2300 SHERBROOK ST,4/30/2019,POINT (-79.9217020717888 40.431464672262),-79.9217020717888,40.431464672262
787,1.0,4200 MCCASLIN ST,4/30/2019,POINT (-79.9367088038383 40.4235163404441),-79.9367088038383,40.4235163404441
788,1.0,5200 PENN AVE,4/30/2019,POINT (-79.93979212375029 40.4642226643853),-79.9397921237503,40.4642226643853
789,5.06,5500 BARTLETT ST,4/30/2019,POINT (-79.9303489957167 40.4352011888438),-79.9303489957167,40.4352011888438
790,3.77,5500 PHILLIPS AVE,4/30/2019,POINT (-79.9297980660313 40.4309511436976),-79.9297980660313,40.4309511436976
791,6.63,5500 BEACON ST,4/30/2019,POINT (-79.930384652876 40.433524732232),-79.930384652876,40.433524732232
792,4.2,5500 WILKINS AVE,4/30/2019,POINT (-79.9302571449263 40.4449909943423),-79.9302571449263,40.4449909943423
793,1.0,5700 AYLESBORO AVE,4/30/2019,POINT (-79.9251314889936 40.4399460163417),-79.9251314889936,40.4399460163417
794,1.0,6200 WELLESLEY AVE,4/30/2019,POINT (-79.91670623003139 40.4720452678939),-79.9167062300314,40.4720452678939
795,2.03,6300 ALDERSON ST,4/30/2019,POINT (-79.9220234283121 40.428186698502),-79.9220234283121,40.428186698502
796,1.0,6400 MONITOR ST,4/30/2019,POINT (-79.9195537612094 40.4250764915638),-79.9195537612094,40.4250764915638
797,4.92,6500 DARLINGTON RD,4/30/2019,POINT (-79.9161098610894 40.4361886729916),-79.9161098610894,40.4361886729916
798,5.02,6600 PREMO ST,4/30/2019,POINT (-79.93001365788869 40.4885797211175),-79.9300136578887,40.4885797211175
799,1.0,6800 BAKER ST,4/30/2019,POINT (-79.9273320841433 40.4884083793697),-79.9273320841433,40.4884083793697
800,6.44,7400 RACE ST,4/30/2019,POINT (-79.8912073568238 40.4576307173476),-79.8912073568238,40.4576307173476
801,6.66,0 MELLON TER,4/24/2019,POINT (-79.9209108644632 40.4786711112805),-79.9209108644632,40.4786711112805
802,1.0,0 BOUQUET CT,4/24/2019,POINT (nan nan),,
803,78.4,0 BRAHM ST,4/24/2019,POINT (-79.99834359386411 40.46254375236),-79.9983435938641,40.46254375236
804,1.0,0 BRAHM ST,4/24/2019,POINT (-79.99834359386411 40.46254375236),-79.9983435938641,40.46254375236
805,1.0,0 GREGORY,4/24/2019,POINT (nan nan),,
806,1.0,100 DENNISTON AVE ,4/24/2019,POINT (nan nan),,
807,5.9,100 MAPLE TER,4/24/2019,POINT (-80.0083688283809 40.4321026103938),-80.0083688283809,40.4321026103938
808,2.0,100 LOGAN ST,4/24/2019,POINT (-79.9718601230967 40.4766277384982),-79.9718601230967,40.4766277384982
809,31.0,100 S 11TH ST,4/24/2019,POINT (-79.9876251869869 40.4274545937833),-79.9876251869869,40.4274545937833
810,2.5,100 S 12TH ST,4/24/2019,POINT (-79.9865003124815 40.4274371075949),-79.9865003124815,40.4274371075949
811,2.0,100 MONTVIEW ST,4/24/2019,POINT (-80.0248313421378 40.4917088728),-80.0248313421378,40.4917088728
812,2.0,100 RICHBARN RD,4/24/2019,POINT (-80.03670108531669 40.4869012182457),-80.0367010853167,40.4869012182457
813,2.0,200 SCHENLEY RD,4/24/2019,POINT (-79.93700715661581 40.4397831046583),-79.9370071566158,40.4397831046583
814,3.25,200 ULYSSES ST,4/24/2019,POINT (-80.01278084116031 40.4326494954037),-80.0127808411603,40.4326494954037
815,4.0,200 S MATHILDA ST,4/24/2019,POINT (-79.9467915726522 40.4650242714724),-79.9467915726522,40.4650242714724
816,0.0,200 S PACIFIC AVE,4/24/2019,POINT (-79.94039878657109 40.463840758577),-79.9403987865711,40.463840758577
817,10.0,200 S EVALINE ST,4/24/2019,POINT (-79.9410881870182 40.463980636761),-79.9410881870182,40.463980636761
818,2.0,300 N DITHRIDGE ST ,4/24/2019,POINT (-79.9538455046584 40.4517014497241),-79.9538455046584,40.4517014497241
819,2.0,300 ALICE ST,4/24/2019,POINT (-79.99351987987779 40.4097794709084),-79.9935198798778,40.4097794709084
820,0.0,300 44TH ST,4/24/2019,POINT (-79.95789212963329 40.4698865586234),-79.9578921296333,40.4698865586234
821,3.94,300 SWEETBRIAR ST,4/24/2019,POINT (-80.02211734753389 40.4373122524625),-80.0221173475339,40.4373122524625
822,12.0,300 42ND ST,4/24/2019,POINT (-79.95708447029899 40.4684324064652),-79.957084470299,40.4684324064652
823,11.7,300 COLTART AVE,4/24/2019,POINT (-79.95866182797241 40.437546899174),-79.9586618279724,40.437546899174
824,0.0,400 JUCUNDA ST,4/24/2019,POINT (-79.9953101771933 40.4170336656992),-79.9953101771933,40.4170336656992
825,137.0,400 WINTON ST,4/24/2019,POINT (-80.0006655634589 40.4229443374401),-80.0006655634589,40.4229443374401
826,0.0,500 FORELAND ST,4/24/2019,POINT (-80.00069844638119 40.4544574421102),-80.0006984463812,40.4544574421102
827,4.0,500 W SYCAMORE ST,4/24/2019,POINT (-80.0130446362229 40.4329076611294),-80.0130446362229,40.4329076611294
828,1.0,500 S AIKEN AVE,4/24/2019,POINT (-79.9386650994618 40.4556812514968),-79.9386650994618,40.4556812514968
829,6.0,500 OAKWOOD ST,4/24/2019,POINT (-79.88374191243339 40.4490728437934),-79.8837419124334,40.4490728437934
830,1.0,600 LINCOLN AVE,4/24/2019,POINT (-79.8021546009019 40.4023009607693),-79.8021546009019,40.4023009607693
831,1.0,700 CHEROKEE,4/24/2019,POINT (nan nan),,
832,13.0,700 HASTINGS ST,4/24/2019,POINT (-79.9170676567911 40.4470776711548),-79.9170676567911,40.4470776711548
833,20.0,700 MONTCLAIR ST,4/24/2019,POINT (-79.9331385875047 40.4204190009565),-79.9331385875047,40.4204190009565
834,2.87,700 STANTON AVE,4/24/2019,POINT (-79.9764987755328 40.4793648093716),-79.9764987755328,40.4793648093716
835,2.0,800 S NEGLEY AVE,4/24/2019,POINT (-79.9311464529886 40.4518313757214),-79.9311464529886,40.4518313757214
836,0.0,800 CRUCIBLE ST,4/24/2019,POINT (-80.04008989944229 40.4419391050221),-80.0400898994423,40.4419391050221
837,2.46,900 HEBERTON ST,4/24/2019,POINT (-79.91567076518351 40.4708817750537),-79.9156707651835,40.4708817750537
838,2.0,1000 PREMIER ST,4/24/2019,POINT (-79.94209231542889 40.4842650620488),-79.9420923154289,40.4842650620488
839,2.0,1000 JEROME ST,4/24/2019,POINT (-80.0434547353933 40.4324403990492),-80.0434547353933,40.4324403990492
840,1.0,1000 N EUCLID AVE,4/24/2019,POINT (-79.92145753244171 40.473482798459),-79.9214575324417,40.473482798459
841,7.3,1000 MORROR ST,4/24/2019,POINT (nan nan),,
842,0.0,1100 PEMBERTON ST,4/24/2019,POINT (-80.0304149103832 40.4828266134051),-80.0304149103832,40.4828266134051
843,2.7,1100 CHISLETT ST,4/24/2019,POINT (-79.9296917095137 40.4772101644891),-79.9296917095137,40.4772101644891
844,2.94,1200 PALO ALTO ST,4/24/2019,POINT (-80.01066358770861 40.4553959172197),-80.0106635877086,40.4553959172197
845,1.13,1200 RESACA PL,4/24/2019,POINT (-80.0116202514329 40.4551852643039),-80.0116202514329,40.4551852643039
846,2.0,1200 RESACA PL,4/24/2019,POINT (-80.0116202514329 40.4551852643039),-80.0116202514329,40.4551852643039
847,0.0,1200 WINDERMERE DR,4/24/2019,POINT (-79.90307473457359 40.4230834979804),-79.9030747345736,40.4230834979804
848,3.0,1300 SHEFFIELD ST,4/24/2019,POINT (-80.0246666285334 40.4535420194968),-80.0246666285334,40.4535420194968
849,9.0,1400 DENNISTON ST,4/24/2019,POINT (-79.91887045985089 40.4435898830286),-79.9188704598509,40.4435898830286
850,6.2,1400 JANCEY ST,4/24/2019,POINT (-79.9289759748456 40.4811098048865),-79.9289759748456,40.4811098048865
851,2.0,1500 WOODBINE ST,4/24/2019,POINT (-79.9360832849887 40.4854656129457),-79.9360832849887,40.4854656129457
852,0.0,1500 WOODBINE ST,4/24/2019,POINT (-79.9360832849887 40.4854656129457),-79.9360832849887,40.4854656129457
853,2.0,1500 LINCOLN AVE,4/24/2019,POINT (-79.8958450507124 40.4686758986344),-79.8958450507124,40.4686758986344
854,2.0,1600 JANCEY ST,4/24/2019,POINT (-79.92847498581391 40.4825319648118),-79.9284749858139,40.4825319648118
855,2.0,1800 NOBLESTOWN RD,4/24/2019,POINT (-80.0533538912873 40.4373514668303),-80.0533538912873,40.4373514668303
856,2.0,1900 BROWNSVILLE RD,4/24/2019,POINT (-79.9875054899917 40.3960524323714),-79.9875054899917,40.3960524323714
857,6.8,2000 SARAH ST,4/24/2019,POINT (-79.9775963783257 40.4275418497008),-79.9775963783257,40.4275418497008
858,2.0,2000 TERMON AVE,4/24/2019,POINT (-80.0445330157571 40.4828790251941),-80.0445330157571,40.4828790251941
859,5.82,2800 COBDEN ST,4/24/2019,POINT (-79.96894471984599 40.4197702952664),-79.968944719846,40.4197702952664
860,1.0,3200 JULIET,4/24/2019,POINT (nan nan),,
861,1.0,3600 PENN AVE,4/24/2019,POINT (-79.9636594181423 40.4638721528704),-79.9636594181423,40.4638721528704
862,1.0,3600 PENN AVE,4/24/2019,POINT (-79.9636594181423 40.4638721528704),-79.9636594181423,40.4638721528704
863,1.0,3800 LIBERTY AVE,4/24/2019,POINT (-79.96048665176581 40.4621013325838),-79.9604866517658,40.4621013325838
864,1.0,4200 HALDANE ST,4/24/2019,POINT (-79.9430019070648 40.4232449345199),-79.9430019070648,40.4232449345199
865,5.61,4500 STANTON AVE,4/24/2019,POINT (-79.9393109351478 40.4813816510732),-79.9393109351478,40.4813816510732
866,3.71,4700 BAYARD ST,4/24/2019,POINT (-79.94855935201601 40.4506689160199),-79.948559352016,40.4506689160199
867,1.0,5100 ELLSWORTH AVE,4/24/2019,POINT (-79.94087952791671 40.4516266944192),-79.9408795279167,40.4516266944192
868,1.0,5200 KINCAID ST,4/24/2019,POINT (-79.93945417990911 40.4666695580158),-79.9394541799091,40.4666695580158
869,1.0,5300 KEYSTONE ST,4/24/2019,POINT (-79.9506752606373 40.4810500489567),-79.9506752606373,40.4810500489567
870,1.0,5300 KINCAID ST,4/24/2019,POINT (-79.9376245385474 40.466390896119),-79.9376245385474,40.466390896119
871,5.21,5400 AYLESBORO AVE,4/24/2019,POINT (-79.9334620228242 40.4385648185119),-79.9334620228242,40.4385648185119
872,4.41,5500 DUNKIRK ST,4/24/2019,POINT (-79.93163319082601 40.4645683130114),-79.931633190826,40.4645683130114
873,2.29,5600 MELVIN ST,4/24/2019,POINT (-79.9268482091753 40.4300001339997),-79.9268482091753,40.4300001339997
874,9.6,5800 FERREE ST,4/24/2019,POINT (-79.9230859760474 40.4408958404564),-79.9230859760474,40.4408958404564
875,3.4,5900 NICHOLSON ST,4/24/2019,POINT (-79.9203730790514 40.4313246194642),-79.9203730790514,40.4313246194642
876,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
877,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
878,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
879,13.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
880,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
881,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
882,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
883,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
884,22.5,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
885,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
886,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
887,1.0,5900 BEACON ST,4/24/2019,POINT (-79.9201380282193 40.4348868055583),-79.9201380282193,40.4348868055583
888,13.9,6200 SELLERS ST,4/24/2019,POINT (-79.923526752735 40.4548105293885),-79.923526752735,40.4548105293885
889,1.0,6300 FORWARD AVE,4/24/2019,POINT (-79.9211799154042 40.4289730339048),-79.9211799154042,40.4289730339048
890,1.0,6500 ROSEMOOR ST,4/24/2019,POINT (-79.9238284052655 40.422458988411),-79.9238284052655,40.422458988411
891,1.0,7100 MCPHERSON BLVD,4/24/2019,POINT (-79.9014253026823 40.4519776590461),-79.9014253026823,40.4519776590461
892,1.0,7500 PENN AVE,4/24/2019,POINT (-79.8965734975413 40.4472863273138),-79.8965734975413,40.4472863273138
893,1.97,7700 ABBOTT ST,4/24/2019,POINT (-79.8954234460132 40.4417625293668),-79.8954234460132,40.4417625293668
894,2.0,6900 MEADE ST,4/22/2019,POINT (-79.9074099573392 40.4521038673697),-79.9074099573392,40.4521038673697
895,1.0,0 SHERIDAN CT,4/16/2019,POINT (-79.9167485038037 40.4742111925701),-79.9167485038037,40.4742111925701
896,1.0,0 FIFTH AVE ,4/16/2019,POINT (nan nan),,
897,1.0,0 MELLON TER,4/16/2019,POINT (-79.9209108644632 40.4786711112805),-79.9209108644632,40.4786711112805
898,0.0,100 S ATLANTIC AVE,4/16/2019,POINT (-79.7971782647421 40.540674373436),-79.7971782647421,40.540674373436
